Business Name,Phone,Website,Address,Rating,Reviews,Category,Lead Type,Google Maps URL
Stillwater Ranch,(210) 451-9671,https://www.stillwaterranchhoa.com/,"7607 Kings Spring, San Antonio, TX 78254",4.1,72,Real estate developer,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Stillwater%20Ranch&query_place_id=ChIJgSD38vBpXIYR_flALriU_d8
Canyon Springs,(210) 497-6979,,"24450 Fairway Springs, San Antonio, TX 78260",4.4,56,Gated community,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Canyon%20Springs&query_place_id=ChIJdbfrXLD0XIYRpWlZssCxuKo
Shadow Cliff Swim & Recreation Club,(210) 530-1206,https://www.shadowcliffswimandtennis.com/,"15110 Eagle Grove St, San Antonio, TX 78232",4.8,49,Swim club,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Shadow%20Cliff%20Swim%20%26%20Recreation%20Club&query_place_id=ChIJ88prCkOKXIYRoNpVR-ptAbU
Hunters Creek Swim & Rec Club,,https://hunterscreekclub.clubexpress.com/,"3630 Hunters Cir St, San Antonio, TX 78230",4.2,45,Swim club,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Hunters%20Creek%20Swim%20%26%20Rec%20Club&query_place_id=ChIJbaRSyx1hXIYRJXRLIEElRxs
Whispering Oaks Club Inc,(210) 492-1991,,"11219 Whisper Valley St, San Antonio, TX 78230",4.6,42,Swim club,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Whispering%20Oaks%20Club%20Inc&query_place_id=ChIJST3cD-5gXIYRsMDLXQbvI7Q
Hill Country Retreat,(210) 679-8133,,"12622 Lotus Ridge, San Antonio, TX 78253",4.5,39,Retirement community,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Hill%20Country%20Retreat&query_place_id=ChIJE6HfKR9CXIYRdF0DKglyVpI
Auburn Hills At Woodcrest,,,"6700 Wood Bench, San Antonio, TX 78233",4.1,37,Community center,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Auburn%20Hills%20At%20Woodcrest&query_place_id=ChIJMQlpt9eMXIYRkGvugg8HEpI
Encino Park HOA Pool,(210) 497-3022,,"1923 Encino Rio, San Antonio, TX 78259",4.7,32,Swimming facility,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Encino%20Park%20HOA%20Pool&query_place_id=ChIJyQx23GGJXIYRotGw3rOS0V8
Braun Oaks Swim Club,(210) 827-0739,https://www.braunoaks.org/,"10555 Tezel Rd, San Antonio, TX 78254",4.8,25,Swim club,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Braun%20Oaks%20Swim%20Club&query_place_id=ChIJYTBqj9dnXIYR1rxPQSABYtY
Estates At Champions Run,(210) 497-5756,http://estatesatchampionsrun.com/,"1 Champions Run, San Antonio, TX 78258",5,5,Gated community,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Estates%20At%20Champions%20Run&query_place_id=ChIJ2VJsC9SJXIYRwHSrIHxraQ0
Alamo Area Aquatic Association - North East,(210) 356-6925,https://www.teamunify.com/team/txaaaane/page/home,"12002 Jones Maltsberger Rd, San Antonio, TX 78216",5,2,Swim club,🏘️ Community/HOA,https://www.google.com/maps/search/?api=1&query=Alamo%20Area%20Aquatic%20Association%20-%20North%20East&query_place_id=ChIJbf09yAmLXIYRawzT5vd30OY
Pool Supply Unlimited,(888) 836-6025,http://www.poolsupplyunlimited.com/,"4985 Eisenhauer Rd Suite 104, San Antonio, TX 78218",4.3,2043,Swimming pool supply store,🏪 Pool Store (partnership),https://www.google.com/maps/search/?api=1&query=Pool%20Supply%20Unlimited&query_place_id=ChIJJTeRK740w4ARqhxOYhk-Up0
"A-Tex Above Ground Pools, Spas, & Billiards",(210) 653-1566,http://www.atexpools.com/,"9323 Perrin Beitel Ste 108, San Antonio, TX 78217",4.7,243,Swimming pool supply store,🏪 Pool Store (partnership),https://www.google.com/maps/search/?api=1&query=A-Tex%20Above%20Ground%20Pools%2C%20Spas%2C%20%26%20Billiards&query_place_id=ChIJHYQHjEyLXIYRsGrNWa1yMMc
PoolZoom Showroom,(210) 496-2244,https://www.poolzoom.com/san-antonio-pool-supplies,"16110 San Pedro Ave, San Antonio, TX 78232",3.8,95,Swimming pool supply store,🏪 Pool Store (partnership),https://www.google.com/maps/search/?api=1&query=PoolZoom%20Showroom&query_place_id=ChIJ5TJ0yHKKXIYRRAuevuaZPhs
365 Pool & Spa LLC,(210) 277-8281,http://www.365poolandspa.com/,"7015 Bandera Rd Unit 14, San Antonio, TX 78238",4.7,79,Swimming pool supply store,🏪 Pool Store (partnership),https://www.google.com/maps/search/?api=1&query=365%20Pool%20%26%20Spa%20LLC&query_place_id=ChIJiTsYp3tdXIYRvK9unYvkNRk
Pool Mart,(210) 822-8882,https://www.poolmarttx.com/,"2620 Harry Wurzbach Rd UNIT 102, San Antonio, TX 78209",4,44,Swimming pool supply store,🏪 Pool Store (partnership),https://www.google.com/maps/search/?api=1&query=Pool%20Mart&query_place_id=ChIJpVamy-X0XIYRaVINxAomEuc
Leslie's Pool Supplies,(916) 966-6790,https://lesliespool.com/location/fair-oaks-california-fair-oaks-236.html?utm_source=gmb&utm_medium=organic&utm_campaign=store_236,"5225 Hazel Ave, Fair Oaks, CA 95628",3.7,36,Swimming pool supply store,🏪 Pool Store (partnership),https://www.google.com/maps/search/?api=1&query=Leslie's%20Pool%20Supplies&query_place_id=ChIJI8vHtS3nmoARhQtpa3-Lt54
Keith Zars Pools San Antonio,(210) 494-0800,http://www.keithzarspools.com/,"17427 San Pedro Ave, San Antonio, TX 78232",4.6,1404,Swimming pool contractor,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Keith%20Zars%20Pools%20San%20Antonio&query_place_id=ChIJM8EFLhuKXIYRyPUmbYMGE-M
Midnight Swim,(210) 530-4236,https://www.midnightswimtx.com/,"2403 N St Mary's St, San Antonio, TX 78212",4,820,Club,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Midnight%20Swim&query_place_id=ChIJ7fM2IV5fXIYRKoMqZaNguys
Poolie - San Antonio (Formerly Fiesta),(210) 405-5990,https://poolie.com/cities/san-antonio/,"4738 Center Park Blvd, San Antonio, TX 78218",4.7,812,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Poolie%20-%20San%20Antonio%20(Formerly%20Fiesta)&query_place_id=ChIJieovS3NhXIYRJOAPO9p8flY
Blue Haven Pools & Spas,(210) 680-0006,https://www.bluehaven.com/san-antonio-swimming-pool-builder/,"7575 N Loop 1604 W, San Antonio, TX 78249",4.6,747,Swimming pool repair service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Blue%20Haven%20Pools%20%26%20Spas&query_place_id=ChIJz0EJeBNmXIYR0aSuAENeRdw
Gary Pools,(210) 791-7577,https://www.garypools.com/?utm_campaign=gmb,"6865 Camp Bullis Rd, San Antonio, TX 78256",4.6,723,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Gary%20Pools&query_place_id=ChIJY9Uq936KXIYRSnfbhXG3_kE
Woodlawn Lake Park Public Pool,(210) 609-9511,http://www.sanantonio.gov/ParksAndRec/Parks-Facilities/All-Parks-Facilities/Parks-Facilities-Details/ArtMID/14820/ArticleID/2456/Woodlawn-Lake-Park-/Park/262,"221 Alexander Ave, San Antonio, TX 78201",4.4,417,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Woodlawn%20Lake%20Park%20Public%20Pool&query_place_id=ChIJVVWlOuFeXIYRvM8T3VYhrHA
Blue Science,(210) 361-5006,https://www.bluescience.com/swimming-pool-service/san-antonio-tx/,"10855 I-35, San Antonio, TX 78233",4.6,298,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Blue%20Science&query_place_id=ChIJbcvQ6FNfXIYRkimUyDePSik
South Texas Pool Tile Cleaning,(210) 343-1207,https://www.southtexaspooltilecleaning.com/,"3623 E Evans Rd, San Antonio, TX 78259",4.8,269,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=South%20Texas%20Pool%20Tile%20Cleaning&query_place_id=ChIJU8oYnb2JXIYRZrvoTlM00FI
South Side Lions Swimming Pool,(210) 532-2027,,"3100 Hiawatha St, San Antonio, TX 78210",4.3,253,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=South%20Side%20Lions%20Swimming%20Pool&query_place_id=ChIJreXYN1T2XIYR0OIaWkuXPxw
Heritage Pool,(210) 645-9465,https://www.sa.gov/Directory/Departments/Parks/Parks-Facilities/Buildings-Centers/Heritage-Pool,"1423 S Ellison Dr, San Antonio, TX 78245",4.2,214,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Heritage%20Pool&query_place_id=ChIJ1UgyMFxDXIYR7RKEmft3P5s
Lady Bird Johnson Swimming Pool,(210) 207-3047,https://www.sa.gov/Directory/Departments/Parks/Parks-Facilities/Parks/Directory/Lady-Bird-Johnson-Park,"10700 Nacogdoches Rd, San Antonio, TX 78217",4.3,213,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Lady%20Bird%20Johnson%20Swimming%20Pool&query_place_id=ChIJYwbAwzuLXIYRw_Pc4l9zZ0c
CK Pools,(726) 888-6248,https://ckpools.com/,"13810 Lookout Rd, San Antonio, TX 78233",4.8,196,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=CK%20Pools&query_place_id=ChIJ_d7am0iLXIYRUgPbbJOSmKQ
San Antonio Natatorium,(210) 207-3299,https://www.sanantonio.gov/ParksAndRec/Parks-Facilities/All-Parks-Facilities/Facility-Details/ArtMID/16234/ArticleID/2508/San-Antonio-Natatorium?Park=&Facility=46,"1430 W Cesar E. Chavez Blvd, San Antonio, TX 78207",4.5,195,Indoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=San%20Antonio%20Natatorium&query_place_id=ChIJ1S8Mf0JZXIYRHx8ckihwdsM
Sunray Pool Service Co,(210) 637-0044,http://www.sunraypool.com/,"11919 Rail Dr Ste 2, San Antonio, TX 78233",4.3,181,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Sunray%20Pool%20Service%20Co&query_place_id=ChIJu7g5vaKMXIYRt-lGFLgeglo
"Colonies House Pool, Tennis Club & Banquet Hall",(210) 695-0321,http://www.colonieshouse.com/,"3511 Colony Dr, San Antonio, TX 78230",4,170,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Colonies%20House%20Pool%2C%20Tennis%20Club%20%26%20Banquet%20Hall&query_place_id=ChIJEX5G775gXIYRDxSqrHkEA0E
Concepcion Swimming Pool,(210) 532-3473,http://www.sanantonio.gov/parksandrec/directory_concepcion.aspx,"600 E Theo Ave, San Antonio, TX 78210",4.3,164,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Concepcion%20Swimming%20Pool&query_place_id=ChIJD2_2So5YXIYRd5EJIMW1IqA
Northside Swim Center,(210) 397-7525,https://nisd.net/athletics/aquatics/ns-swim-center,"8400 N Loop 1604 W, San Antonio, TX 78249",4.7,128,Aquatic center,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Northside%20Swim%20Center&query_place_id=ChIJdw8lxG1nXIYR8NNFqk2lUmI
Elmendorf Lake Park Pool,(210) 552-7096,https://www.sa.gov/Directory/Departments/Parks/Parks-Facilities/Parks/Directory/Elmendorf-Lake-Park,"3700 W Commerce St, San Antonio, TX 78207",4.5,112,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Elmendorf%20Lake%20Park%20Pool&query_place_id=ChIJ9Z3ZBslfXIYRYliKWNnxQVU
Jose's Pools,(210) 867-3131,http://www.josespools.com/,"2012 Cottonwood Way, San Antonio, TX 78253",4.7,105,Swimming pool repair service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Jose's%20Pools&query_place_id=ChIJd5zHVqxcXIYRSVVSPsW4Jzc
Cassiano Pool,(210) 584-1093,http://www.sanantonio.gov/parksandrec,"1440 S Zarzamora St, San Antonio, TX 78207",4.1,100,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Cassiano%20Pool&query_place_id=ChIJCTaRNChZXIYRiJbOV7e6BZk
Harmony Hills Cabana Club,(210) 342-5872,https://www.harmonyhillscabanaclub.com/,"339 Fantasia Dr, San Antonio, TX 78216",4.5,82,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Harmony%20Hills%20Cabana%20Club&query_place_id=ChIJWxWZrj1gXIYRqGifTDVOJzM
San Antonio Local Pool Maintenance,(210) 544-5510,,"1223 Austin Hwy, San Antonio, TX 78209",4.9,81,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=San%20Antonio%20Local%20Pool%20Maintenance&query_place_id=ChIJt_Hjohv1XIYRytsJADzCyxQ
Dellview Park Pool,(210) 609-1188,https://www.sa.gov/Directory/Departments/Parks/Parks-Facilities/Parks/Directory/Dellview-Park,"500 Basswood Dr, San Antonio, TX 78213",4,74,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Dellview%20Park%20Pool&query_place_id=ChIJnVlF-i9eXIYRQa4uLa6BO-c
The Pool Guys,(210) 570-5217,https://www.thepoolguys.net/,"1122 Grey Oak Dr, San Antonio, TX 78213",4.6,69,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=The%20Pool%20Guys&query_place_id=ChIJzwudO2xgXIYRYXWyGPslfSU
Northside Pool Management,(210) 990-6588,https://www.northsidepoolmanagement.com/,"2310 N Loop 1604 W, San Antonio, TX 78248",5,68,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Northside%20Pool%20Management&query_place_id=ChIJe59s0kewuGQRPJaEw5WHqWk
Poolie,(210) 972-9051,https://poolie.com/,"14603 Huebner Rd Building 8 Suite 112, San Antonio, TX 78230",4.9,62,Swimming pool repair service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Poolie&query_place_id=ChIJESYqxelhXIYRyby9TOecnaI
Pinch A Penny Pool Patio Spa,(210) 447-7779,https://pinchapenny.com/stores/san-antonio-tx-255,"18415 Blanco Rd Suite 109, San Antonio, TX 78258",4.2,62,Swimming pool repair service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Pinch%20A%20Penny%20Pool%20Patio%20Spa&query_place_id=ChIJLcFCavZjXIYRL5KqS-Lmo5w
Pool Cleaning for San Antonio,(210) 405-3293,,"5025 Northwest Loop 410, San Antonio, TX 78229",4.8,52,Cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Pool%20Cleaning%20for%20San%20Antonio&query_place_id=ChIJq6qqkeldXIYRU2g53GQJt00
Redemption Pool Services,(210) 347-1217,http://www.southtexaspoolrepair.com/,"6923 W Loop 1604 N Suite 111, San Antonio, TX 78254",4.8,49,Swimming pool repair service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Redemption%20Pool%20Services&query_place_id=ChIJJZxoWZdDXIYRW68UEv17vNg
Woodstone Community Pool,(210) 200-0000,http://woodstonepool.org/,"13618 Dreamwood Dr, San Antonio, TX 78233",4.2,41,Outdoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Woodstone%20Community%20Pool&query_place_id=ChIJF8CqKIuMXIYRqyEC7p3dcYI
Poolside Services,(210) 496-2244 ext. 1,http://www.poolsidesalesandservices.com/,"16110 San Pedro Ave a, San Antonio, TX 78232",4.1,40,Swimming pool repair service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Poolside%20Services&query_place_id=ChIJRR-nWQ2KXIYRQjXdn5LvZ18
Monterrey Swimming Pool,(210) 432-2727,https://311.sanantonio.gov/kb/docs/articles/parks-and-recreation/monterrey-pool,"5919 W Commerce St, San Antonio, TX 78237",4.2,35,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Monterrey%20Swimming%20Pool&query_place_id=ChIJ0TlT6hxcXIYRYYm4MPwu_Ec
Forest Oaks Pool,,,"6620 Forest Grove, San Antonio, TX 78240",4.4,34,Outdoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Forest%20Oaks%20Pool&query_place_id=ChIJN-1AkQ9dXIYRzwyLlseKpd4
Regency Recreation Club (Swimming pool),(210) 526-1973,https://regency-recreation.square.site/,"2806 Mayfair Dr, San Antonio, TX 78217",4,32,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Regency%20Recreation%20Club%20(Swimming%20pool)&query_place_id=ChIJW8YuEteKXIYRgaCIsKKgKuk
Fusion Pool Service,(210) 632-5990,https://fusionpoolservice.com/,"428 W Nakoma St, San Antonio, TX 78216",4.2,26,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Fusion%20Pool%20Service&query_place_id=ChIJfZvX4f-JXIYRjOjM0ukrbg4
Aqua Splash swimming pool service,(210) 902-1227,,"9015 Mimosa Manor, 8702 Cinnamon Creek Dr #78240, San Antonio, TX 78245",4.8,24,Pool cleaning service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Aqua%20Splash%20swimming%20pool%20service&query_place_id=ChIJvd8cikxDXIYRe-zLXDLN4YY
Stoneridge Community pool,,https://spectrumam.com/,"3400 Ridge Country St, San Antonio, TX 78247",3.7,23,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Stoneridge%20Community%20pool&query_place_id=ChIJlS2T0AaLXIYRKWaPI4JQYFI
Ruby Hill Swim-Tennis Club,(925) 461-5257,http://www.rubyhill.com/,"3333 W Ruby Hill Dr, Pleasanton, CA 94566",4.3,20,Tennis club,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Ruby%20Hill%20Swim-Tennis%20Club&query_place_id=ChIJtYJKOU_dj4ARYU4cufdJWKs
Dive In Pool Services,(210) 556-1486,http://www.diveinpooltx.com/,"9906 San Pedro Ave, San Antonio, TX 78216",4.8,19,Swimming pool contractor,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Dive%20In%20Pool%20Services&query_place_id=ChIJiVKo7lBgXIYRupDEw7WrJn0
Cuellar Public Pool,,,"SW 36th St, San Antonio, TX 78237",4.1,19,Public swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Cuellar%20Public%20Pool&query_place_id=ChIJM7Oct_9bXIYRMsbIznPY36U
Vistas Of Encino Park Community Pool,,,"21735 Hyerwood, San Antonio, TX 78259",3.8,18,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Vistas%20Of%20Encino%20Park%20Community%20Pool&query_place_id=ChIJD77IIA6JXIYRLSaCbyRHMKs
Pool John Swimming Pool Repair,(210) 342-3051,https://pool-service.advenboost.com/,"362 Ave Maria Dr, San Antonio, TX 78216",5,15,Swimming pool contractor,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Pool%20John%20Swimming%20Pool%20Repair&query_place_id=ChIJ1wsSIOpfXIYRz1tZi5xBsKg
Point Bluff @ Roger's Ranch Community Pool,,,"16334-040-0351, San Antonio, TX 78258",4.5,13,Outdoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Point%20Bluff%20%40%20Roger's%20Ranch%20Community%20Pool&query_place_id=ChIJPTSuWu9jXIYRnhgqshwt24o
San Antonio Pool Management,(210) 822-8100,https://www.sanantonio-pmg.com/,"121 Interpark Blvd #405, San Antonio, TX 78216",3.7,10,Swimming pool repair service,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=San%20Antonio%20Pool%20Management&query_place_id=ChIJjXSFbY1oXIYRPzkWRoYxB3w
Cobblestone Community Pool,(512) 852-7945,http://scsa.sites.townsq.io/0,"7610 Clos Du Bois, San Antonio, TX 78253",4.8,9,Outdoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Cobblestone%20Community%20Pool&query_place_id=ChIJNT3mF11rXIYRNdahTdLdFsw
Ventura Community Swimming Pool,,,"7060 Elm Trail Dr, San Antonio, TX 78244",3.4,8,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Ventura%20Community%20Swimming%20Pool&query_place_id=ChIJf4fDIN3zXIYRTxFcz1to0tw
Oak Ridge Village,(800) 275-8777,http://orvhoa.com/,"3836-3858, Tavern Oaks, San Antonio, TX 78247",4.4,7,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Oak%20Ridge%20Village&query_place_id=ChIJdQZkNYeLXIYR7P6bAi5rpcM
Stonewall Ranch Community Pool,,https://www.stonewallranch.org/info.php?pnum=86447e63ba148d,"San Antonio, TX 78256",4.4,7,Outdoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Stonewall%20Ranch%20Community%20Pool&query_place_id=ChIJ7U7IrAllXIYRYGSrX6v2MTk
Oak Meadow Swim Club,,https://www.oakmeadowswimclub.com/page-1551411,"14330 Vantage Hl Dr, San Antonio, TX 78231",4.5,4,Club,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Oak%20Meadow%20Swim%20Club&query_place_id=ChIJVVWluRFhXIYRSH5nY-yycnU
Apple Creek Community Pool,,,"7767 Apple Green Rd, San Antonio, TX 78240",5,1,Outdoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Apple%20Creek%20Community%20Pool&query_place_id=ChIJsVT8MABdXIYRDwNqazYgkgA
Hidden Forest Community Pool,,https://hiddenforesthoa.com/pool,"831 Sherman Oak, San Antonio, TX 78232",4,1,Outdoor swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Hidden%20Forest%20Community%20Pool&query_place_id=ChIJ0382fjNhXIYRQXIbUpPzYzo
Public swimming pool,,,"5800 Hemphill Dr, San Antonio, TX 78228",,,Swimming pool,🔧 Pool Service Co (their customers),https://www.google.com/maps/search/?api=1&query=Public%20swimming%20pool&query_place_id=ChIJj-nQw6pdXIYRyfn48uDKsoA
